Date,GDP
1992-05-01,20240.9
1992-06-01,20381.9
1992-07-01,20812.7
1992-08-01,21243.5
1992-09-01,21674.3
1992-10-01,22084.566666666666
1992-11-01,22494.833333333332
1992-12-01,22905.1
1993-01-01,22788.13333333333
1993-02-01,22671.166666666668
1993-03-01,22554.2
1993-04-01,22914.033333333333
1993-05-01,23273.86666666667
1993-06-01,23633.7
1993-07-01,24082.566666666666
1993-08-01,24531.433333333334
1993-09-01,24980.3
1993-10-01,25571.833333333332
1993-11-01,26163.36666666667
1993-12-01,26754.9
1994-01-01,26599.36666666667
1994-02-01,26443.833333333332
1994-03-01,26288.3
1994-04-01,26508.533333333333
1994-05-01,26728.766666666666
1994-06-01,26949.0
1994-07-01,27647.666666666668
1994-08-01,28346.333333333332
1994-09-01,29045.0
1994-10-01,29454.366666666665
1994-11-01,29863.733333333334
1994-12-01,30273.1
1995-01-01,29824.333333333332
1995-02-01,29375.566666666666
1995-03-01,28926.8
1995-04-01,29319.666666666668
1995-05-01,29712.533333333333
1995-06-01,30105.4
1995-07-01,30760.533333333333
1995-08-01,31415.666666666668
1995-09-01,32070.8
1995-10-01,32500.633333333335
1995-11-01,32930.46666666667
1995-12-01,33360.3
1996-01-01,33164.96666666667
1996-02-01,32969.63333333334
1996-03-01,32774.3
1996-04-01,32909.200000000004
1996-05-01,33044.1
1996-06-01,33179.0
1996-07-01,33422.833333333336
1996-08-01,33666.666666666664
1996-09-01,33910.5
1996-10-01,34578.13333333333
1996-11-01,35245.76666666667
1996-12-01,35913.4
1997-01-01,35539.1
1997-02-01,35164.8
1997-03-01,34790.5
1997-04-01,35473.8
1997-05-01,36157.1
1997-06-01,36840.4
1997-07-01,37310.8
1997-08-01,37781.2
1997-09-01,38251.6
1997-10-01,38428.36666666667
1997-11-01,38605.13333333333
1997-12-01,38781.9
1998-01-01,37853.4
1998-02-01,36924.9
1998-03-01,35996.4
1998-04-01,35949.166666666664
1998-05-01,35901.933333333334
1998-06-01,35854.7
1998-07-01,35864.6
1998-08-01,35874.5
1998-09-01,35884.4
1998-10-01,35836.066666666666
1998-11-01,35787.73333333334
1998-12-01,35739.4
1999-01-01,35129.566666666666
1999-02-01,34519.73333333334
1999-03-01,33909.9
1999-04-01,34672.86666666667
1999-05-01,35435.833333333336
1999-06-01,36198.8
1999-07-01,36621.3
1999-08-01,37043.8
1999-09-01,37466.3
1999-10-01,37870.03333333333
1999-11-01,38273.76666666667
1999-12-01,38677.5
2000-01-01,38539.933333333334
2000-02-01,38402.36666666667
2000-03-01,38264.8
2000-04-01,38859.933333333334
2000-05-01,39455.066666666666
2000-06-01,40050.2
2000-07-01,41016.73333333333
2000-08-01,41983.26666666667
2000-09-01,42949.8
2000-10-01,43422.4
2000-11-01,43895.0
2000-12-01,44367.6
2001-01-01,43398.2
2001-02-01,42428.8
2001-03-01,41459.4
2001-04-01,41033.0
2001-05-01,40606.6
2001-06-01,40180.2
2001-07-01,39931.066666666666
2001-08-01,39681.933333333334
2001-09-01,39432.8
2001-10-01,39559.6
2001-11-01,39686.4
2001-12-01,39813.2
2002-01-01,40058.566666666666
2002-02-01,40303.933333333334
2002-03-01,40549.3
2002-04-01,40807.76666666667
2002-05-01,41066.23333333333
2002-06-01,41324.7
2002-07-01,41365.2
2002-08-01,41405.7
2002-09-01,41446.2
2002-10-01,41756.76666666666
2002-11-01,42067.333333333336
2002-12-01,42377.9
2003-01-01,42291.76666666667
2003-02-01,42205.63333333333
2003-03-01,42119.5
2003-04-01,41456.166666666664
2003-05-01,40792.833333333336
2003-06-01,40129.5
2003-07-01,40950.96666666667
2003-08-01,41772.433333333334
2003-09-01,42593.9
2003-10-01,43487.6
2003-11-01,44381.3
2003-12-01,45275.0
2004-01-01,45726.63333333333
2004-02-01,46178.26666666667
2004-03-01,46629.9
2004-04-01,46663.63333333333
2004-05-01,46697.36666666667
2004-06-01,46731.1
2004-07-01,47563.26666666666
2004-08-01,48395.433333333334
2004-09-01,49227.6
2004-10-01,50099.86666666667
2004-11-01,50972.13333333333
2004-12-01,51844.4
2005-01-01,51397.3
2005-02-01,50950.2
2005-03-01,50503.1
2005-04-01,50733.166666666664
2005-05-01,50963.23333333334
2005-06-01,51193.3
2005-07-01,52033.13333333334
2005-08-01,52872.96666666667
2005-09-01,53712.8
2005-10-01,54913.13333333334
2005-11-01,56113.46666666667
2005-12-01,57313.8
2006-01-01,56806.66666666667
2006-02-01,56299.53333333333
2006-03-01,55792.4
2006-04-01,56290.433333333334
2006-05-01,56788.46666666667
2006-06-01,57286.5
2006-07-01,58092.13333333333
2006-08-01,58897.76666666667
2006-09-01,59703.4
2006-10-01,60927.76666666667
2006-11-01,62152.13333333333
2006-12-01,63376.5
2007-01-01,63438.333333333336
2007-02-01,63500.166666666664
2007-03-01,63562.0
2007-04-01,64699.333333333336
2007-05-01,65836.66666666667
2007-06-01,66974.0
2007-07-01,67984.4
2007-08-01,68994.8
2007-09-01,70005.2
2007-10-01,70722.26666666666
2007-11-01,71439.33333333333
2007-12-01,72156.4
2008-01-01,71008.86666666667
2008-02-01,69861.33333333333
2008-03-01,68713.8
2008-04-01,68624.16666666667
2008-05-01,68534.53333333333
2008-06-01,68444.9
2008-07-01,68988.56666666667
2008-08-01,69532.23333333332
2008-09-01,70075.9
2008-10-01,68952.93333333333
2008-11-01,67829.96666666666
2008-12-01,66707.0
2009-01-01,66064.9
2009-02-01,65422.799999999996
2009-03-01,64780.7
2009-04-01,65962.43333333333
2009-05-01,67144.16666666666
2009-06-01,68325.9
2009-07-01,69773.23333333332
2009-08-01,71220.56666666667
2009-09-01,72667.9
2009-10-01,73985.26666666666
2009-11-01,75302.63333333333
2009-12-01,76620.0
2010-01-01,77034.33333333333
2010-02-01,77448.66666666667
2010-03-01,77863.0
2010-04-01,78966.46666666666
2010-05-01,80069.93333333333
2010-06-01,81173.4
2010-07-01,81398.66666666666
2010-08-01,81623.93333333333
2010-09-01,81849.2
2010-10-01,83264.3
2010-11-01,84679.4
2010-12-01,86094.5
2011-01-01,86228.7
2011-02-01,86362.90000000001
2011-03-01,86497.1
2011-04-01,86423.2
2011-05-01,86349.3
2011-06-01,86275.4
2011-07-01,86907.3
2011-08-01,87539.2
2011-09-01,88171.1
2011-10-01,88922.16666666667
2011-11-01,89673.23333333334
2011-12-01,90424.3
2012-01-01,90669.1
2012-02-01,90913.9
2012-03-01,91158.7
2012-04-01,91625.63333333333
2012-05-01,92092.56666666667
2012-06-01,92559.5
2012-07-01,91765.36666666667
2012-08-01,90971.23333333334
2012-09-01,90177.1
2012-10-01,91743.13333333333
2012-11-01,93309.16666666667
2012-12-01,94875.2
2013-01-01,94540.53333333333
2013-02-01,94205.86666666667
2013-03-01,93871.2
2013-04-01,94433.7
2013-05-01,94996.2
2013-06-01,95558.7
2013-07-01,95694.76666666666
2013-08-01,95830.83333333333
2013-09-01,95966.9
2013-10-01,97135.76666666666
2013-11-01,98304.63333333333
2013-12-01,99473.5
2014-01-01,98711.26666666666
2014-02-01,97949.03333333334
2014-03-01,97186.8
2014-04-01,97565.96666666667
2014-05-01,97945.13333333333
2014-06-01,98324.3
2014-07-01,98726.73333333334
2014-08-01,99129.16666666667
2014-09-01,99531.6
2014-10-01,100989.46666666667
2014-11-01,102447.33333333333
2014-12-01,103905.2
2015-01-01,103720.86666666667
2015-02-01,103536.53333333333
2015-03-01,103352.2
2015-04-01,103702.03333333333
2015-05-01,104051.86666666667
2015-06-01,104401.7
2015-07-01,105009.8
2015-08-01,105617.9
2015-09-01,106226.0
2015-10-01,107305.4
2015-11-01,108384.8
2015-12-01,109464.2
2016-01-01,108423.83333333333
2016-02-01,107383.46666666667
2016-03-01,106343.1
2016-04-01,106709.76666666668
2016-05-01,107076.43333333333
