Data Series,Total Unemployment Rate
2021,2.7
2020,2.9
2019,2.3
2018,2.1
2017,2.2
2016,2.1
2015,2
2014,1.9
2013,2
2012,1.9
2011,2
2010,2.2
2009,3.2
2008,2.2
2007,2.3
2006,2.7
2005,3.3
2004,3.6
2003,3.6
2002,3.4
2001,2.2
2000,3.4
1999,2.7
1998,1.9
1997,1.4
1996,1.8
1995,1.9
1994,1.6
1993,1.8
1992,1.8
